hashkey;name;formula;synonyms;External_Resources
NIST-MATDB-054bd15cb211d99e324d9adb3740eb52; [Cu3L2(mu3-OH)2(mu2-H2O)]·2DMA;;[];[]
NIST-MATDB-3ad1fa581e0fcdeed9bc310e17713a49;"""COF-F6-H after being soaked in H3PO4 (washed and dried before conducting the measurement)""";;[];[]
NIST-MATDB-70f6c5cfd34cb7fca06b59d6350f5303;((C4H11)2NH2)2Co3(hfbba)4;;[];[]
NIST-MATDB-895aa514507d242d5062b7a2742cea92;((Me2NH2)In(NH2BDC)2);;[];[]
NIST-MATDB-cf810d161ff8a621efc36928ee18c9f0;(11,11) SWSiCNTA Rhombic;;[];[]
NIST-MATDB-d992991f51feb0395addb5d2831dbc3e;(11,11) SWSiCNTA Square;;[];[]
NIST-MATDB-d02fb11a21f9b8c9c659b01402e459be;(14,14) SWCNTA Rhombic;;[];[]
NIST-MATDB-aa75343fb9fa51ddef2580eba909c194;(14,14) SWCNTA Square;;[];[]
NIST-MATDB-6bac295ba935ab8f4d3fc8b32aafe75a;(15,15) SWBNNT;;[];[]
NIST-MATDB-a6c1302a7ed46358fbc40a0e17a35d51;(15,15) SWCNT;;[];[]
NIST-MATDB-177c5f0cb5d401618d56d1cdbcb592c2;(15,15) SWSiCNT;;[];[]
NIST-MATDB-74a1ff59ad8908d83e7af36fbc73cae5;(22,22) SWBNNT;;[];[]
NIST-MATDB-57c0087ea510897760fe2e3690f7e630;(22,22) SWCNT;;[];[]
NIST-MATDB-35169cfb627774abae566d7abe400386;(22,22) SWSiCNT;;[];[]
NIST-MATDB-d16f3e65cb7e06d8c835af11640b9929;(5,5) Silicon nanotubes;;[];[]
NIST-MATDB-a8d1edb6e6d0b1b1807137b4ca06f23e;(8,8) SWSiCNT;;[];[]
NIST-MATDB-f2ed13176e71f945a56e638bfd94ccf3;(9,9) SWSiCNT;;[];[]
NIST-MATDB-ef9d1aca8e5d22911ad584c9a9ea6db1;(9,9) SWSiNTA Rhombic;;[];[]
NIST-MATDB-9b5612e6a10d2551484dde9107082c99;(9,9) SWSiNTA Square;;[];[]
NIST-MATDB-5d3d5a9b155b412206b0bbfd0bc76fb3;(C2H5)2dtoaCu;;[];[]
NIST-MATDB-545cd11abec564fcc3b346fdf97894c7;(C4B2H4(COOH)2Li2);;[];[]
NIST-MATDB-de465fe168bf0755c57cca924412bbe6;(C5H14N2)[(VO)3(AsO4)(HAsO4)2(OH)]*3H2O;;[];[]
NIST-MATDB-96551cec3480eda20771d3d9b7c6231b;(C6H11NH3)2Mn3(hfbba)4;;[];[]
NIST-MATDB-f7736d41443a15671f5e8d0df925a42c;(Cd(im)2);;[];[]
NIST-MATDB-36ecd9f5a13fc408dc22098d7cd838a3;(CH3)2-MIL-53;;[];[]
NIST-MATDB-05f26bb684c88e29819021cf451b60e2;(CH3)2-MIL-53(Al);;[];[]
NIST-MATDB-705be57511587b5cf26d1a79e4a8dbfd;(CH3)2CO;;[];[]
NIST-MATDB-388cc8bc1b7ae9f6af22eb91a0a0c533;(Cr)-MIL-101-SO3Ag;;[];[]
NIST-MATDB-b142150d6b54a92cea0bc0d437973f06;(Cu(db));;[];[]
NIST-MATDB-edcc9fccf27cc5489a4652d9fe136ee2;(Cu-BTC-DTG-0.92);;[];[]
NIST-MATDB-0f3a36a9b3da937a870cbecbbfa53fe1;(Cu-BTC-DTG-1.52);;[];[]
NIST-MATDB-20f44908c68c8c8b88f8e6ccac3ddc11;(Cu-BTCDTG-0.18);;[];[]
NIST-MATDB-0796a426ff4acaca5b2f38ddcda502a4;(Cu6(H2O)6(tatb)4*DMA*12H2O);;[];[]
NIST-MATDB-cbe62e246612909e69a203d53aad0286;(CuC8H10O6P2)*(H2O)x;;[];[]
NIST-MATDB-698d87ea3dc222af53aca3746f3227d3;(Et2NH2)3[(Cu4Cl)3(TTCA)8];;[];[]
NIST-MATDB-d142c1ea3d67424900fae5da9e615344;(h-BN) nanosheet;;[];[]
NIST-MATDB-aff80a2ff66e5982846a01ae3ce36d1e;(H2dab)[Zn2(ox)3];;[];[]
NIST-MATDB-b5cc9ee722145391f636805012aea049;(H2tdpip)Co3(hfbba)4;;[];[]
NIST-MATDB-ee36b2a9095ec91288836a44edfdc823;(H3O)4[Ni6(pi3-O)2(pi2-OSC2H6)2(SO4)2(TATB)8/3].4C2H6O.13H2O;;[];[]
NIST-MATDB-694b3058aa659e37dde90bb32da581e4;(Hbzza)2]*H2O*C2H5OH;;[];[]
NIST-MATDB-366fdecd24bef837eb0cae569bacf316;(HF)2-CO2-Y;;[];[]
NIST-MATDB-5c84285efa1b75d2cf3510e6ab66cfc6;(HOC2H4)2dtoaCu;;[];[]
NIST-MATDB-e0f1ea383b8b290ca83fb4c214ff9cf0;(In3O)(OH)(ADC)2(IN)2*4.67H2O;;[];[]
NIST-MATDB-f194003c556f8f57ac38ece04b86c3b6;(In3O)(OH)(ADC)2(NH2IN)2*2.67H2O;;[];[]
NIST-MATDB-8df803a1cc1143596b41c3b1e86b0e89;(LiCl)[Ni(bdc)(ted)0.5] t=100;;[];[]
NIST-MATDB-3f5113eb12c69c03ce3ce319d65edc5d;(LiCl)[Ni(bdc)(ted)0.5] t=15;;[];[]
NIST-MATDB-25536b80165e8b2d1525a255abab835c;(LiCl)[Zn(bdc)(ted)0.5];;[];[]
NIST-MATDB-0456f796ed622bae59a2826c194cd1a7;(LiCl)[Zn(bdc)(ted)0.5] t=100 sec;;[];[]
NIST-MATDB-359c458e300c4b1329cd96637b84edba;(LiCl)[Zn(bdc)(ted)0.5] t=15 sec;;[];[]
NIST-MATDB-0fc6fe0e88747d6206743f79868a947c;(Me2NH2)2(DMF)9(H2O)5;;[];[]
NIST-MATDB-dc1f4b7ddd96245d3704815ee72b638d;(me2NH2)6[In10(TTCA)12]*24DMF*15H2O;;[];[]
NIST-MATDB-eb9bf7c1df4d53b737afb698efe667b1;(Me2NH2)[Cd(TTCA)(H2O)].3DMF.H2O;;[];[]
NIST-MATDB-1060b7ad340cbca6b3d46a8ba58c99ee;(MnCl2)tppe;;[];[]
NIST-MATDB-1e1291030fcd194b53599b4d457548d1;(NH2(CH3)2)3[Zn6(BTC)4(BTB)];;[];[]
